asin,stratum,is_pure_bath_bomb_gold,n_bomb_balls_gold,exclude_reason_gold,annotator,n_annotations,notes
B01ALSQK40,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B01CCHGZX4,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B01DYFR802,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B01LRQLI2O,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B01LZ82EIH,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B01MQZ55FV,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B01MUL8QRT,craft_kit,false,,not_bath_bomb,Tianyu,1,
B01MXHNPJV,pure,true,2,,Tianyu,1,accepted rule prediction
B01N2X0XEV,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B01N3SY6PC,pure,true,2,,Tianyu,1,accepted rule prediction
B01N8YE9W8,bundle,false,,bundle,Tianyu,1,accepted model prediction
B06WRQ46NL,pure,true,6,,Tianyu,1,accepted rule prediction
B06X6CV7TZ,pure,true,1,,Tianyu,1,accepted rule prediction
B073J5YFVT,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B074QYCKTX,pure,true,1,,Tianyu,1,
B074VMXMCQ,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0766FFLB2,pure,true,1,,Tianyu,1,
B0781CR4YL,craft_kit,true,12,,Tianyu,1,
B0785GWSPK,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B0794RFHMH,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B079NPMRPV,bundle,true,8,,Tianyu,1,
B07CRZ5CHZ,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B07KDL68LC,bundle,false,,bundle,Tianyu,1,accepted model prediction
B07KK7V2VV,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B07KX3L2ZQ,pure,true,1,,Tianyu,1,accepted rule prediction
B07L1GTKK4,pure,true,6,,Tianyu,1,
B07NP16QJ7,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B07RSRJMZN,substitute,true,3,,Tianyu,1,
B07V4B1M6B,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B07XYV9XZS,pure,true,4,,Tianyu,1,accepted rule prediction
B07YBHYDTG,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B07YXGQBP1,toiletry,false,,toiletry,Tianyu,1,accepted model prediction
B0833KRJFK,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B085B25P78,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B087JKL4TG,craft_kit,true,40,,Tianyu,1,
B087S429LL,craft_kit,false,,craft_kit,Tianyu,1,accepted rule prediction
B089BVK7WY,substitute,false,,substitute,Tianyu,1,accepted model prediction
B08B56R37S,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B08BFSFYQ4,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
B08BKHKYK1,pure,true,2,,Tianyu,1,accepted rule prediction
B08C59KHN4,craft_kit,false,,craft_kit,Tianyu,1,accepted model prediction
