asin,class_label,is_pure_bath_bomb_manual,n_bomb_balls_manual,exclude_reason_manual,notes,ts
B0DNWXY43Z,craft_kit,False,,craft_kit,accepted rule prediction,1784927926.275798
B07RD7QJG2,craft_kit,False,,craft_kit,accepted rule prediction,1784927933.08118
B0C28N3K9T,craft_kit,False,,craft_kit,accepted rule prediction,1784927939.638471
B0CQT1SXYQ,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927957.7540202
B09HSHPQPK,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927961.12513
B095RFVSZX,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927963.570397
B09MW13L1C,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927966.3281229
B001JSNB7Q,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927970.411585
B0CK586YZ8,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927974.202219
B0878MMSKP,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927978.471989
B07B421WSQ,no-bath-bomb,False,,no-bath-bomb,accepted rule prediction,1784927983.637747
B0882YRVN6,bundle,False,,bundle,accepted rule prediction,1784927996.2741
B0DT71H4ZT,bundle,False,,bundle,accepted rule prediction,1784928001.265578
B0BSM9Y65W,bundle,False,,bundle,accepted rule prediction,1784928005.092024
B0CXF6F481,bundle,False,,bundle,accepted rule prediction,1784928015.834431
B09XCLYKJF,bundle,False,,bundle,accepted rule prediction,1784928037.1446772
B0BQZJTW36,bundle,False,,bundle,accepted rule prediction,1784928041.5517492
B097XSZFBW,substitute,False,,substitute,accepted rule prediction,1784928052.88463
B0BXF6M7ZS,substitute,False,,substitute,accepted rule prediction,1784928056.085631
B07KB64J6L,substitute,False,,substitute,accepted rule prediction,1784928060.695764
B0BWRFNPHR,substitute,False,,substitute,accepted rule prediction,1784928064.045109
B0CMTFRVGQ,substitute,False,,substitute,accepted rule prediction,1784928068.302903
B0C865KBJM,pure,True,1.0,,accepted rule prediction,1784928079.712731
B09Q2PVF8Z,pure,True,4.0,,accepted rule prediction,1784928086.070594
B07QR9HH7X,pure,True,1.0,,accepted rule prediction,1784928093.490942
B07K72RV3X,pure,True,1.0,,accepted rule prediction,1784928100.851282
B0C2N7P9D9,pure,True,1.0,,accepted rule prediction,1784928122.289376
B06WLJP77Y,pure,True,6.0,,accepted rule prediction,1784928133.710868
B08DJFJH6S,pure,True,1.0,,accepted rule prediction,1784928138.6018271
B075KYBP2R,pure,True,1.0,,accepted rule prediction,1784928146.1369889
B07433YL2M,pure,true,1.0,,,1784928605.6116931
